Pau;Rue Albert Piche;280827036,339777390,286680657
Pau;Rue Baudon;280827047,370393953,370393956,283017182
Pau;Rue de Bizanos;283016967,2639423938,283016971
Pau;Avenue du Général Poeymirau;283017172,4465316675,4465316673,4966478630,340291402,340291415,286678900
Pau;Avenue Léon Say;283017172,285873695,285873731,285873741
Pau;Avenue de Barèges;283017172,337986412,283017174,283017178,283017179,283017182
Pau;Avenue de Beaumont;283017179,2055643624,1674682944,337986392,337986396,337986442,337986437,1674682940
Pau;Avenue Napoléon Bonaparte;285873731,286680657,770678449,286680653,7437911765,5936939669,286680645,9036187197
Pau;Allée Alfred de Musset;285873741,286680615,286680614,8951485956,2210245415,286680609,3051716872,286680607,3037058263,286680598,345532658,8119130078,286680581,286678902,286678871,286678900
Pau;Rue Louis Barthou;285873741,307360940,5998440611,353108413,307360939,307360937,353108387,307360936,307360935,307360934
Pau;Avenue Édouard VII;286678871,286678900,2525380702,343522550,286678873,286678874,286678875,286678876,2386321379,6375779100,286678885
Pau;Boulevard Barbanègre;286678873,343522520,286830449,345532657,286830447,5891286604,5891286600,6126276486,307639926,307639922,307639921,307639927
Pau;Rue Bonado;286678874,339665925,339665922,339665919,339665916,2527889954,2527889955
Pau;Avenue Trespoey;286678874,339465315,1436423910,2635148675,2990664960,286777483,286777485,286777486,2525057986,339465319,286777489,286777490,339465321,339465323,286777491,339465324,360814277,456077702,459492911,459492906,7101567072,286777494,460003996,460003982,286777497,339465332,2635148674,286777499,418951684,2525057978,2635148664,2635148656,351184164
Pau;Rue de Navarre;286678875,339665938
Pau;Rue de Batsalle;286678876,286678877,286678882,2386321386,286678884
Pau;Rue Deveria;286678884,418845524,418845523,418845522
Pau;Avenue du Général de Gaulle;286678884,7044802377,286678885,8497959608,339665893,339665895,2386321386,286778081,339665942,8497964631,8497964619,339665945,360814121,4510077005,963138644,360814157
Pau;Rond-Point Yitzhak Rabin;286678890,343486289,286678893,286678894,286678895,5254766617,286779744,446277343,5254767624,446277337,286678898,5254766598,286678899
Pau;Avenue du Général Leclerc;286678890,2628310113,2628310111,2628310094,343486245,343486288,7079932050,7079932061,7079934985,7079932069,360814086,360814083,2892021603,360814081,3040842581,2990506699,2990506698,3040842577,8906211886,360843281,2990506693,6384429195,6384429197,360814208,7101567065,7101567062,7853682951,8482183981,360814157,369763777,7079932045,4510053739,2628310116,286678899
Pau;Boulevard du Commandant René Mouchotte;286678894,446277340,446277339,446277341,286678895,2637251463,2891993148,370940561,2229963582,459492946,286696378,286775807,2525057997,459492948,5971884571,5971884572,2525057998,3199705884,3039832506,3039832504,459492988
Pau;Boulevard du Corps Franc Pommiès et du 49e Régiment d'Infanterie;286678898,2635190607,369763775,369763805,7599711149,7599711148,7079935024,8956871553,7079935029,360814091,286693864,446277337
Pau;Allée Anna de Noailles;286678902,8121091540,340291451,6066484369,340291571,340291573,6066484371,340291528,340291529,340291530,340291531,340291532,3052453951,340291506,340291476,2210245413
Pau;Allée François Coppée;286680581,3052453956,340291593,340291563,340291520
Pau;Rue Carrérot;286680598,2309661269,286830447,339665916,2527889961,339665901,2527889954
Pau;Allée Émile Bournac;286680609,2210245414,286680618,2210245413,286680621
Pau;Allée Gérard de Nerval;286680614,286680665,8951515421,286680666,286680618
Pau;['Pont Oscar II', 'Boulevard des Pyrénées'];286680621,770678443,2971453792,340291476
